,0,1
81,http://checkpaper.pyunhan.co.kr/Service/JHCheckPaper?code=KB&carNo=58°Å9978&print=1,http://checkpaper.pyunhan.co.kr/Service/JHCheckPaper
82,http://ext.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=2914014496,http://ext.carvan.kr/office/rest/extservice/OUT4511
83,http://ext.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=2914014207,http://ext.carvan.kr/office/rest/extservice/OUT4511
84,None,None
85,None,None
86,http://moldeoncar.com/usedcar/kaiwa_referer.asp?v=2&n=67%uBCF41741,http://moldeoncar.com/usedcar/kaiwa_referer.asp
87,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=201930016183,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
88,None,None
89,http://ext.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=2914014075,http://ext.carvan.kr/office/rest/extservice/OUT4511
90,None,None
91,None,None
92,None,None
93,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=202020003728,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
94,None,None
95,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2019300132262,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
96,None,None
97,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2020300236350,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
98,http://jautoworld.com/car/carViewFrameUsedCarCheckAdv.html?no=329055,http://jautoworld.com/car/carViewFrameUsedCarCheckAdv.html
99,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2020300074610,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
100,http://office.kaat.kr/office/rest/extservice/OUT4511?CAR_REG_NO=83%EC%98%A49993,http://office.kaat.kr/office/rest/extservice/OUT4511
101,None,None
102,None,None
103,http://ext.carvan.kr/office/rest/extservice/OUT4511?CHECK_NO=2914015183,http://ext.carvan.kr/office/rest/extservice/OUT4511
104,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2019300093813,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
105,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=2019300087559,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
106,None,None
107,None,None
108,None,None
109,http://autocafe.co.kr/ASSO/CarCheck_Form.asp?OnCarNo=202013049897,http://autocafe.co.kr/ASSO/CarCheck_Form.asp
